year,zone_index,zone_name,mean_tmax_MAMJ,p95_tmax_MAMJ,hot_days_ge_38C,onset_doy_ge_38C
1980,0,Andaman & Nicobar,29.48501205444336,30.7851487159729,0,
1980,1,Andhra Pradesh,36.602806091308594,41.37134437561035,49,83.0
1980,2,Assam,28.479902267456055,31.295429039001466,0,
1980,3,Chandigarh,34.445499420166016,40.890350341796875,42,110.0
1980,4,Dadra and Nagar Haveli,34.33285140991211,38.512435340881346,13,87.0
1980,5,Delhi,36.28593444824219,42.93639869689942,65,103.0
1980,6,Gujarat,36.575843811035156,40.419812774658205,57,94.0
1980,7,Haryana,36.08835983276367,42.444322395324704,64,108.0
1980,8,Himachal Pradesh,10.813714981079102,18.139328765869138,0,
1980,9,Jammu and Kashmir,1.3715568780899048,12.002329540252685,0,
1980,10,Kerala,30.217451095581055,33.704872322082515,0,
1980,12,Maharashtra,36.212852478027344,40.247117614746095,54,99.0
1980,13,Manipur,26.27215003967285,29.86767997741699,0,
1980,14,Meghalaya,26.625438690185547,29.606313991546628,0,
1980,15,Karnataka,33.277557373046875,36.50565872192383,0,
1980,16,Nagaland,24.434316635131836,27.01040515899658,0,
1980,17,Orissa,35.842735290527344,40.95809917449951,45,101.0
1980,18,Pondicherry,32.98831558227539,36.55197296142578,1,146.0
1980,19,Punjab,35.50240707397461,42.36776008605957,61,108.0
1980,20,Rajasthan,37.34334945678711,42.30599098205566,73,98.0
1980,21,Tamil Nadu,35.006141662597656,38.24592895507812,8,131.0
1980,22,Tripura,31.181394577026367,35.0785608291626,0,
1980,23,West Bengal,33.8652229309082,39.07576866149902,17,100.0
1980,24,Sikkim,9.027030944824219,14.081401252746579,0,
1980,25,Arunachal Pradesh,16.708311080932617,21.893515014648436,0,
1980,26,Mizoram,29.52568817138672,33.509103012084964,0,
1980,27,Daman and Diu,33.94103240966797,37.85410652160645,5,97.0
1980,28,Goa,31.51618766784668,34.392262840270995,0,
1980,29,Bihar,35.51435852050781,41.46041564941406,42,98.0
1980,30,Madhya Pradesh,36.81105422973633,41.90529117584229,56,99.0
1980,31,Uttar Pradesh,33.45918273925781,38.948210906982425,28,110.0
1981,0,Andaman & Nicobar,29.151145935058594,30.17300329208374,0,
1981,1,Andhra Pradesh,36.210662841796875,40.13004817962646,27,100.0
1981,2,Assam,28.72803497314453,31.916818714141844,0,
1981,3,Chandigarh,33.76247024536133,41.03682250976562,41,116.0
1981,4,Dadra and Nagar Haveli,34.44960021972656,38.30467948913574,8,98.0
1981,5,Delhi,36.352638244628906,42.98284339904785,61,100.0
1981,6,Gujarat,36.626888275146484,39.799167251586915,53,99.0
1981,7,Haryana,36.05754852294922,42.76754360198974,61,101.0
1981,8,Himachal Pradesh,10.700392723083496,18.305476093292235,0,
1981,9,Jammu and Kashmir,1.1944798231124878,11.050818300247187,0,
1981,10,Kerala,30.112462997436523,33.80556163787842,0,
1981,12,Maharashtra,36.31655502319336,40.023367691040036,37,98.0
1981,13,Manipur,25.299978256225586,28.043853759765625,0,
1981,14,Meghalaya,26.13113784790039,28.78446102142334,0,
1981,15,Karnataka,32.972957611083984,36.38127822875976,0,
1981,16,Nagaland,24.110734939575195,27.501400947570797,0,
1981,17,Orissa,34.70619201660156,38.36738452911377,11,100.0
1981,18,Pondicherry,33.00259017944336,35.95359878540039,0,
1981,19,Punjab,35.035606384277344,42.89831047058105,55,103.0
1981,20,Rajasthan,37.400779724121094,42.83384971618652,69,100.0
1981,21,Tamil Nadu,34.71726608276367,37.87308139801025,4,105.0
1981,22,Tripura,29.970821380615234,32.395442962646484,0,
1981,23,West Bengal,31.637292861938477,34.5931697845459,0,
1981,24,Sikkim,8.347430229187012,13.47693452835083,0,
1981,25,Arunachal Pradesh,16.722808837890625,22.096126079559323,0,
1981,26,Mizoram,27.83403778076172,30.17458400726318,0,
1981,27,Daman and Diu,33.885379791259766,37.61394729614258,4,102.0
1981,28,Goa,31.6151123046875,34.564436721801755,0,
1981,29,Bihar,33.766258239746094,37.73277835845947,6,135.0
1981,30,Madhya Pradesh,36.402862548828125,41.13352279663086,60,100.0
1981,31,Uttar Pradesh,32.367942810058594,37.94023685455322,6,135.0
1982,0,Andaman & Nicobar,28.913766860961914,30.019703769683836,0,
1982,1,Andhra Pradesh,36.17961883544922,38.92482414245605,26,90.0
1982,2,Assam,28.536876678466797,32.2648136138916,0,
1982,3,Chandigarh,31.16672134399414,40.484796142578126,27,146.0
1982,4,Dadra and Nagar Haveli,33.62289047241211,38.089711570739745,7,87.0
1982,5,Delhi,33.711727142333984,41.26335830688477,37,123.0
1982,6,Gujarat,35.48989486694336,38.94533863067627,17,88.0
1982,7,Haryana,33.00071334838867,41.34626636505127,33,146.0
1982,8,Himachal Pradesh,8.60407829284668,16.482936668395997,0,
1982,9,Jammu and Kashmir,-0.4312863051891327,7.99942739009857,0,
1982,10,Kerala,30.575082778930664,34.07049007415772,0,
1982,12,Maharashtra,35.61225891113281,38.298763847351076,11,89.0
1982,13,Manipur,26.222593307495117,30.182639789581295,0,
1982,14,Meghalaya,26.480417251586914,29.45270299911499,0,
1982,15,Karnataka,33.22049331665039,36.08819313049316,0,
1982,16,Nagaland,24.395761489868164,27.986797142028806,0,
1982,17,Orissa,34.93155288696289,38.79616470336914,17,92.0
1982,18,Pondicherry,33.02391815185547,35.8609224319458,0,
1982,19,Punjab,31.750986099243164,41.78860950469971,31,146.0
1982,20,Rajasthan,35.01600646972656,41.306027793884276,41,103.0
1982,21,Tamil Nadu,35.079959869384766,37.024563026428225,0,
